コード,銘柄名,市場,財務,現在値,前日比(%),売上高変化率(%) - 前年度比,経常利益変化率(%) - 前年度比,自己資本比率(%),時価総額(百万円),PER(株価収益率)(倍),平均売買代金(千円) - 5日
1870,矢作建設工業,東P,(連),"2,042","+50.0 (+2.51%) ",20.40,58.98,51.47,"91,088",10.38,"492,674"
1945,東京エネシス,東P,(連),"2,035","-12.0 (-0.59%) ",22.68,65.11,60.72,"67,610",15.78,"500,967"
212A,フィットイージー,東P,(単),"3,120","+115.0 (+3.83%) ",45.82,44.88,58.43,"52,086",32.46,"454,213"
3905,データセクション,東G,(連),"1,778","-114.0 (-6.03%) ","1,042.00",691.68,64.84,"61,573",15.40,"8,580,136"
3993,ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇ,東P,(連),"2,900","+39.0 (+1.36%) ",28.88,39.85,63.42,"92,649",33.54,"743,941"
4071,プラスアルファコンサルティング,東P,(連),"2,305","+21.0 (+0.92%) ",22.78,39.21,79.39,"97,737",29.33,"457,969"
4180,Ａｐｐｉｅｒ　Ｇｒｏｕｐ,東P,(連),"969","-2.0 (-0.21%) ",28.42,29.68,61.41,"99,569",38.54,"603,502"
4413,ボードルア,東P,(連),"2,788","+90.0 (+3.34%) ",49.56,36.99,55.03,"89,631",35.25,"611,701"
464A,ＱＰＳＨＬＤＧ,東G,(連),"1,670","+27.0 (+1.64%) ",41.85,655.24,74.61,"93,405",71.86,"2,221,230"
4776,サイボウズ,東P,(連),"2,750","-1.0 (-0.04%) ",26.13,93.53,59.09,"145,084",17.95,"503,620"
5574,ＡＢＥＪＡ,東G,(単),"2,894","+166.0 (+6.09%) ",29.61,57.69,84.03,"28,865",61.35,"374,448"
6145,ＮＩＴＴＯＫＵ,東S,(連),"2,316","-421.0 (-15.38%) ",27.49,348.33,63.96,"41,917",11.36,"424,589"
6226,守谷輸送機工業,東S,(単),"2,031","-8.0 (-0.39%) ",21.37,45.95,71.37,"71,840",17.29,"771,200"
6331,三菱化工機,東P,(連),"3,220","+5.0 (+0.16%) ",42.29,68.18,57.54,"76,449",9.72,"618,161"
6855,日本電子材料,東S,(連),"6,580","+130.0 (+2.02%) ",23.24,54.68,76.75,"96,528",15.45,"7,306,960"
7777,スリー・ディー・マトリックス,東G,(連),"352","+15.0 (+4.45%) ",57.00,259.93,66.72,"45,049",10.09,"376,030"
